season,player_seasons,unique_players,mean_pts_per_game,median_pts_per_game,p90_pts_per_game,max_pts_per_game,mean_minutes_per_game,mean_fga_per_game,traded_player_seasons,traded_player_season_share
2005,464,464,8.086606204999747,6.388555194805194,16.896153846153844,30.69333333333333,20.71291077405065,6.789886479710383,59,0.1271551724137931
2006,458,458,7.982243521418293,6.3041833088080725,16.919966216216217,35.4,20.510664744096708,6.581906585048417,51,0.11135371179039301
2007,458,458,8.20585994120757,6.433797909407666,17.346544117647063,31.55844155844156,20.640955202064582,6.700088656602394,29,0.06331877729257641
2008,451,451,8.265964747359295,6.7317073170731705,18.768115942028984,30.0,20.598865039925286,6.835877160683058,68,0.15077605321507762
2009,445,445,8.502686441272907,6.923076923076923,17.798222222222222,30.20253164556962,21.02732254725138,6.98869221259549,67,0.15056179775280898
2010,442,442,8.571000850199246,7.503623188405797,17.064329268292692,30.146341463414632,21.14174715569167,7.029030290593404,66,0.1493212669683258
2011,452,452,8.205431963233966,7.084375,16.47063728409768,27.705128205128204,20.6713878502262,6.785021594497892,83,0.1836283185840708
2012,478,478,7.928388396443871,6.591666666666667,15.387878787878789,28.03030303030303,20.61197123906673,6.799941937146409,36,0.07531380753138076
2013,469,469,7.957710656448379,6.689655172413793,16.165014780038256,28.65671641791045,20.231995779342228,6.767787490448918,50,0.10660980810234541
2014,482,482,8.089971266618683,6.686058009228741,16.661042471042474,32.01234567901235,20.019135860361406,6.752858807003512,63,0.13070539419087138
2015,492,492,8.120720654318614,6.877346683354193,16.029819819819824,28.149253731343283,20.172171357090686,6.896527024282194,76,0.15447154471544716
2016,476,476,8.346670459414035,7.035609551738585,16.355151515151515,30.063291139240505,20.157360677932697,6.951444368984666,50,0.10504201680672269
2017,486,486,8.426541380837138,6.779513888888889,16.95918367346939,31.580246913580247,19.898152324813193,6.912438731081769,53,0.10905349794238683
2018,540,540,8.158939393483426,6.7091549295774655,16.266599190283408,30.43055555555556,19.190997409495104,6.715601681433919,59,0.10925925925925926
2019,530,530,8.614157419935445,7.0078125,17.027160493827168,36.12820512820513,19.359454944500197,7.029965463167944,86,0.16226415094339622
2020,529,529,8.726126895930191,7.0,18.49322033898305,34.338235294117645,19.51132930277607,7.044742261633995,60,0.11342155009451796
2021,540,540,8.940973591668099,7.347517730496454,18.605095108695657,31.984126984126984,19.817673126640017,7.1623804386493575,79,0.14629629629629629
2022,605,605,8.236464676426653,6.918918918918919,17.24886526272746,30.573529411764707,18.912636123842194,6.7199846388890165,97,0.16033057851239668
2023,539,539,9.11881121836824,7.032786885245901,20.110088113648622,33.07575757575758,19.79523742656367,7.103187910217153,70,0.12987012987012986
2024,572,572,8.422299784791328,6.444489795918368,19.409498454139463,34.69230769230769,18.649861701122155,6.6815502050437,78,0.13636363636363635
2025,569,569,8.886530303816745,7.202702702702703,18.955744680851062,32.68421052631579,19.430582602298553,7.077268122633744,81,0.14235500878734622
2026,582,582,9.154370423417978,7.831320450885668,18.412296564195294,33.484375,19.667323440925212,7.117340112140282,72,0.12371134020618557
